Java HotSpot(TM) 64-Bit Server VM (25.91-b14) for bsd-amd64 JRE (1.8.0_91-b14), built on Apr  1 2016 01:03:00 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(572212k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
1.697: [GC (Allocation Failure) 1.697: [DefNew: 447K->64K(448K), 0.0018286 secs] 41956K->41948K(1048512K), 0.0018930 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.708: [GC (Allocation Failure) 1.708: [DefNew: 448K->63K(448K), 0.0026856 secs] 42332K->42323K(1048512K), 0.0029156 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
1.720: [GC (Allocation Failure) 1.720: [DefNew: 447K->64K(448K), 0.0019418 secs] 42707K->42696K(1048512K), 0.0020045 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.731: [GC (Allocation Failure) 1.731: [DefNew: 448K->64K(448K), 0.0019946 secs] 43080K->43070K(1048512K), 0.0020557 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.742: [GC (Allocation Failure) 1.742: [DefNew: 448K->63K(448K), 0.0022726 secs] 43454K->43443K(1048512K), 0.0023469 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.753: [GC (Allocation Failure) 1.753: [DefNew: 447K->63K(448K), 0.0022316 secs] 43827K->43817K(1048512K), 0.0023301 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.764: [GC (Allocation Failure) 1.764: [DefNew: 447K->64K(448K), 0.0031136 secs] 44201K->44191K(1048512K), 0.0031922 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.776: [GC (Allocation Failure) 1.776: [DefNew: 448K->64K(448K), 0.0042995 secs] 44575K->44564K(1048512K), 0.0044698 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.790: [GC (Allocation Failure) 1.790: [DefNew: 448K->63K(448K), 0.0027941 secs] 44948K->44935K(1048512K), 0.0029967 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.802: [GC (Allocation Failure) 1.802: [DefNew: 447K->63K(448K), 0.0035891 secs] 45319K->45311K(1048512K), 0.0037394 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.815: [GC (Allocation Failure) 1.815: [DefNew: 447K->63K(448K), 0.0022294 secs] 45695K->45686K(1048512K), 0.0023010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.826: [GC (Allocation Failure) 1.826: [DefNew: 447K->63K(448K), 0.0022584 secs] 46070K->46059K(1048512K), 0.0023306 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
